dt_ymd,city_id,_c2
20150610,3101,763
20150610,4401,215
20150610,4403,475
20150611,5101,348
20150611,4201,89
20150611,3205,40
20150611,4403,483
20150611,4401,228
20150611,1101,3627
20150611,1201,72
20150611,3201,67
20150611,3301,396
20150611,3101,813
20150612,1101,4643
20150612,4201,83
20150612,1201,100
20150612,5101,524
20150612,3301,541
20150612,3101,1183
20150612,3205,56
20150612,3201,107
20150612,4403,547
20150612,4401,216
20150613,4401,228
20150613,3205,44
20150613,3201,52
20150613,4403,462
20150613,1201,85
20150613,3301,448
20150613,5101,474
20150613,4201,55
20150613,1101,4078
20150613,3101,707
20150614,5101,484
20150614,4201,73
20150614,1101,3810
20150614,3101,666
20150614,1201,80
20150614,3301,401
20150614,4403,397
20150614,4401,218
20150614,3205,54
20150614,3201,28
20150615,5101,392
20150615,4201,56
20150615,4401,227
20150615,3205,63
20150615,1101,3829
20150615,4403,478
20150615,3301,487
20150615,1201,61
20150615,3201,80
20150615,3101,899
20150616,5101,446
20150616,4201,96
20150616,1101,3909
20150616,1201,77
20150616,3205,89
20150616,3201,112
20150616,4401,247
20150616,4403,612
20150616,3101,961
20150616,3301,473
20150617,4403,544
20150617,1201,103
20150617,3301,443
20150617,3201,85
20150617,1101,4155
20150617,NULL,1
20150617,4201,106
20150617,3101,1179
20150617,3205,68
20150617,5101,418
20150617,4401,253
20150618,1101,4703
20150618,4201,72
20150618,5101,535
20150618,4403,895
20150618,3205,51
20150618,3201,111
20150618,3101,1071
20150618,3301,521
20150618,1201,133
20150618,4401,293
20150619,3101,1463
20150619,1101,6338
20150619,4201,128
20150619,4403,969
20150619,3205,51
20150619,4401,345
20150619,5101,676
20150619,1201,95
20150619,3201,104
20150619,3301,612
20150620,4403,782
20150620,4401,256
20150620,3201,56
20150620,3301,494
20150620,1201,119
20150620,5101,559
20150620,3205,62
20150620,1101,5165
20150620,3101,1146
20150620,4201,115
20150621,5101,443
20150621,1101,4237
20150621,4201,81
20150621,3101,870
20150621,4403,647
20150621,4401,241
20150621,1201,126
20150621,3301,543
20150621,3205,42
20150621,3201,53
20150622,4401,196
20150622,3205,50
20150622,4403,478
20150622,1101,3464
20150622,4201,53
20150622,3301,402
20150622,3101,789
20150622,1201,72
20150622,3201,61
20150622,5101,389
20150623,3201,61
20150623,3205,52
20150623,4403,559
20150623,4401,237
20150623,3301,503
20150623,3101,946
20150623,1201,87
20150623,1101,3663
20150623,4201,62
20150623,5101,403
20150624,4401,277
20150624,3205,71
20150624,3101,1193
20150624,4201,73
20150624,1101,4037
20150624,3301,527
20150624,1201,80
20150624,3201,102
20150624,4403,641
20150624,5101,397
20150625,5101,443
20150625,4403,660
20150625,3101,1156
20150625,1201,98
20150625,1101,4524
20150625,4201,82
20150625,3301,535
20150625,3205,72
20150625,3201,107
20150625,4401,253
20150626,5101,591
20150626,4403,881
20150626,3205,74
20150626,4201,92
20150626,1101,5667
20150626,4401,300
20150626,3301,626
20150626,3101,1533
20150626,3201,119
20150626,1201,133
20150627,3101,1275
20150627,3301,551
20150627,3205,82
20150627,4401,267
20150627,3201,193
20150627,4403,675
20150627,1101,4891
20150627,5101,573
20150627,1201,86
20150627,4201,81
20150628,4401,230
20150628,5101,511
20150628,3101,1203
20150628,1101,4425
20150628,4201,72
20150628,3205,136
20150628,4403,603
20150628,3301,584
20150628,1201,105
20150628,3201,83
20150629,5101,465
20150629,4401,213
20150629,1101,4010
20150629,4201,90
20150629,3201,119
20150629,3205,67
20150629,1201,89
20150629,3101,1285
20150629,4403,528
20150629,3301,488
20150630,3101,1171
20150630,3301,546
20150630,4201,102
20150630,1101,4394
20150630,5101,545
20150630,1201,87
20150630,4401,268
20150630,3201,179
20150630,4403,703
20150630,3205,60
20150701,3201,115
20150701,1101,4539
20150701,3101,1194
20150701,4201,126
20150701,5101,566
20150701,4401,271
20150701,1201,110
20150701,3301,584
20150701,4403,747
20150701,3205,71
20150702,1201,91
20150702,5101,458
20150702,4401,323
20150702,3101,1271
20150702,3301,594
20150702,3205,73
20150702,3201,157
20150702,4403,750
20150702,4201,99
20150702,1101,4356
20150703,5101,627
20150703,1201,117
20150703,3201,137
20150703,4401,293
20150703,4403,868
20150703,1101,5404
20150703,4201,125
20150703,3205,70
20150703,3101,1515
20150703,3301,717
20150704,4403,839
20150704,3201,134
20150704,4401,294
20150704,3205,96
20150704,4201,119
20150704,5101,565
20150704,1201,103
20150704,1101,5159
20150704,3101,1286
20150704,3301,776
20150704,NULL,0
20150705,3205,95
20150705,3201,115
20150705,4401,186
20150705,4403,671
20150705,5101,528
20150705,4201,137
20150705,1101,4519
20150705,3101,1238
20150705,NULL,1
20150705,3301,798
20150705,1201,106
20150706,3201,124
20150706,3205,115
20150706,NULL,0
20150706,1201,111
20150706,4401,220
20150706,4403,682
20150706,3101,1444
20150706,5101,488
20150706,4201,110
20150706,1101,4361
20150706,3301,876
20150707,3201,140
20150707,1201,168
20150707,5101,596
20150707,3301,820
20150707,3205,117
20150707,4403,953
20150707,4401,352
20150707,4201,157
20150707,NULL,1
20150707,1101,5391
20150707,3101,1620
20150708,3301,779
20150708,NULL,1
20150708,3101,1292
20150708,1201,131
20150708,5101,565
20150708,1101,4517
20150708,4201,148
20150708,4401,281
20150708,3205,94
20150708,3201,191
20150708,4403,726
20150709,4403,876
20150709,3301,813
20150709,1201,89
20150709,4401,260
20150709,1101,4747
20150709,3101,1410
20150709,4201,167
20150709,3201,182
20150709,3205,90
20150709,5101,576
20150710,3101,1824
20150710,3301,976
20150710,3201,175
20150710,1201,141
20150710,5101,713
20150710,4403,960
20150710,4401,347
20150710,NULL,1
20150710,1101,6136
20150710,4201,204
20150710,3205,85
20150711,4403,786
20150711,3201,215
20150711,3205,188
20150711,4401,291
20150711,1201,114
20150711,5101,693
20150711,1101,5652
20150711,4201,196
20150711,3301,801
20150711,3101,1564
20150712,3101,1289
20150712,4201,178
20150712,1101,5700
20150712,4403,805
20150712,5101,682
20150712,4401,212
20150712,3205,112
20150712,1201,136
20150712,3301,751
20150712,3201,150
20150713,5101,658
20150713,4403,793
20150713,3301,711
20150713,4401,238
20150713,3201,149
20150713,3205,115
20150713,1101,5037
20150713,4201,166
20150713,1201,102
20150713,3101,1463
20150714,3301,813
20150714,3101,1470
20150714,4401,340
20150714,3205,116
20150714,1101,5286
20150714,4201,221
20150714,4403,808
20150714,5101,775
20150714,1201,112
20150714,3201,216
20150715,3201,251
20150715,4401,277
20150715,4403,716
20150715,3205,121
20150715,3101,1580
20150715,NULL,0
20150715,3301,763
20150715,1201,113
20150715,5101,711
20150715,1101,5128
20150715,4201,247
20150716,4401,354
20150716,3201,224
20150716,4403,875
20150716,5101,755
20150716,3205,126
20150716,4201,246
20150716,1101,5564
20150716,3101,1790
20150716,3301,812
20150716,1201,118
20150717,3201,336
20150717,3205,152
20150717,3101,2160
20150717,3301,1076
